❤️‍🔥	heart_on_fire	heart_on_fire	heart_on_fire heart on fire
❤️‍🩹	mending_heart	mending_heart	mending_heart mending heart
❤️	heart	heart	heart red heart love
🩷	pink_heart	pink_heart	pink_heart pink heart
🧡	orange_heart	orange_heart	orange_heart orange heart
💛	yellow_heart	yellow_heart	yellow_heart yellow heart
💚	green_heart	green_heart	green_heart green heart
💙	blue_heart	blue_heart	blue_heart blue heart
🩵	light_blue_heart	light_blue_heart	light_blue_heart light blue heart
💜	purple_heart	purple_heart	purple_heart purple heart
🤎	brown_heart	brown_heart	brown_heart brown heart
🖤	black_heart	black_heart	black_heart black heart
🩶	grey_heart	grey_heart	grey_heart grey heart
🤍	white_heart	white_heart	white_heart white heart
💋	kiss	kiss	kiss kiss mark lipstick
💯	100	100	100 hundred points score perfect
💢	anger	anger	anger anger symbol angry
💥	boom	boom,collision	boom collision collision explode
💫	dizzy	dizzy	dizzy dizzy star
💦	sweat_drops	sweat_drops	sweat_drops sweat droplets water workout
💨	dash	dash	dash dashing away wind blow fast
🕳️	hole	hole	hole hole
💬	speech_balloon	speech_balloon	speech_balloon speech balloon comment
👁️‍🗨️	eye_speech_bubble	eye_speech_bubble	eye_speech_bubble eye in speech bubble
🗨️	left_speech_bubble	left_speech_bubble	left_speech_bubble left speech bubble
🗯️	right_anger_bubble	right_anger_bubble	right_anger_bubble right anger bubble
💭	thought_balloon	thought_balloon	thought_balloon thought balloon thinking
💤	zzz	zzz	zzz ZZZ sleeping
👋	wave	wave	wave waving hand goodbye
🤚	raised_back_of_hand	raised_back_of_hand	raised_back_of_hand raised back of hand
🖐️	raised_hand_with_fingers_splayed	raised_hand_with_fingers_splayed	raised_hand_with_fingers_splayed hand with fingers splayed
✋	hand	hand,raised_hand	hand raised_hand raised hand highfive stop
🖖	vulcan_salute	vulcan_salute	vulcan_salute vulcan salute prosper spock
🫱	rightwards_hand	rightwards_hand	rightwards_hand rightwards hand
🫲	leftwards_hand	leftwards_hand	leftwards_hand leftwards hand
🫳	palm_down_hand	palm_down_hand	palm_down_hand palm down hand
🫴	palm_up_hand	palm_up_hand	palm_up_hand palm up hand
🫷	leftwards_pushing_hand	leftwards_pushing_hand	leftwards_pushing_hand leftwards pushing hand
🫸	rightwards_pushing_hand	rightwards_pushing_hand	rightwards_pushing_hand rightwards pushing hand
👌	ok_hand	ok_hand	ok_hand OK hand
🤌	pinched_fingers	pinched_fingers	pinched_fingers pinched fingers
🤏	pinching_hand	pinching_hand	pinching_hand pinching hand
✌️	v	v	v victory hand victory peace
🤞	crossed_fingers	crossed_fingers	crossed_fingers crossed fingers luck hopeful
🫰	hand_with_index_finger_and_thumb_crossed	hand_with_index_finger_and_thumb_crossed	hand_with_index_finger_and_thumb_crossed hand with index finger and thumb crossed
🤟	love_you_gesture	love_you_gesture	love_you_gesture love-you gesture
🤘	metal	metal	metal sign of the horns
🤙	call_me_hand	call_me_hand	call_me_hand call me hand
👈	point_left	point_left	point_left backhand index pointing left
👉	point_right	point_right	point_right backhand index pointing right
👆	point_up_2	point_up_2	point_up_2 backhand index pointing up
🖕	middle_finger	middle_finger,fu	middle_finger fu middle finger
👇	point_down	point_down	point_down backhand index pointing down
☝️	point_up	point_up	point_up index pointing up
🫵	index_pointing_at_the_viewer	index_pointing_at_the_viewer	index_pointing_at_the_viewer index pointing at the viewer
👍	+1	+1,thumbsup	+1 thumbsup thumbs up approve ok
👎	-1	-1,thumbsdown	-1 thumbsdown thumbs down disapprove bury
✊	fist_raised	fist_raised,fist	fist_raised fist raised fist power
👊	fist_oncoming	fist_oncoming,facepunch,punch	fist_oncoming facepunch punch oncoming fist attack
🤛	fist_left	fist_left	fist_left left-facing fist
🤜	fist_right	fist_right	fist_right right-facing fist
👏	clap	clap	clap clapping hands praise applause
🙌	raised_hands	raised_hands	raised_hands raising hands hooray
🫶	heart_hands	heart_hands	heart_hands heart hands love
